algorithm,input_type,n,trial,time_ms,mem_kb
bubblesort,reverse,10000,1,845.84,0
mergesort,reverse,10000,2,2.0781,40
quicksort,reverse,10000,2,2.5956,0
insertionsort,reverse,10000,2,469.101,0
selectionsort,reverse,10000,2,209.201,0
bubblesort,reverse,10000,2,842.793,0
mergesort,reverse,10000,3,2.0988,40
quicksort,reverse,10000,3,2.6188,0
insertionsort,reverse,10000,3,468.106,0
selectionsort,reverse,10000,3,209.796,0
bubblesort,reverse,10000,3,849.21,0
mergesort,reverse,10000,4,2.191,40
quicksort,reverse,10000,4,2.5901,0
insertionsort,reverse,10000,4,762.991,0
selectionsort,reverse,10000,4,372.787,0
bubblesort,reverse,10000,4,1549.65,0
mergesort,reverse,10000,5,4.9197,40
quicksort,reverse,10000,5,3.4473,0
insertionsort,reverse,10000,5,942.937,0
selectionsort,reverse,10000,5,303.687,0
bubblesort,reverse,10000,5,1372.65,0
mergesort,reverse,10000,6,3.6992,40
quicksort,reverse,10000,6,6.1963,0
insertionsort,reverse,10000,6,765.232,0
selectionsort,reverse,10000,6,367.107,0
bubblesort,reverse,10000,6,1483.68,0
mergesort,reverse,10000,7,2.2748,40
quicksort,reverse,10000,7,4.3339,0
insertionsort,reverse,10000,7,794.018,0
selectionsort,reverse,10000,7,399.869,0
bubblesort,reverse,10000,7,1449.79,0
mergesort,reverse,10000,8,3.8615,40
quicksort,reverse,10000,8,3.8723,0
insertionsort,reverse,10000,8,799.124,0
selectionsort,reverse,10000,8,363.624,0
bubblesort,reverse,10000,8,1442.22,0
mergesort,reverse,10000,9,3.251,40
quicksort,reverse,10000,9,4.4759,0
insertionsort,reverse,10000,9,772.08,0
selectionsort,reverse,10000,9,379.603,0
bubblesort,reverse,10000,9,1483.41,0
mergesort,reverse,10000,10,4.1088,40
quicksort,reverse,10000,10,4.4947,0
insertionsort,reverse,10000,10,798.538,0
selectionsort,reverse,10000,10,374.744,0
bubblesort,reverse,10000,10,1389.94,0
mergesort,random,25000,1,15.1487,96
quicksort,random,25000,1,14.1835,0
insertionsort,random,25000,1,1728.65,0
selectionsort,random,25000,1,1316.26,0
bubblesort,random,25000,1,3947.83,0
mergesort,random,25000,2,7.7938,0
quicksort,random,25000,2,8.1539,0
insertionsort,random,25000,2,1488.2,0
selectionsort,random,25000,2,1315.12,0
bubblesort,random,25000,2,3935.15,0
mergesort,random,25000,3,9.1842,0
quicksort,random,25000,3,7.4903,0
insertionsort,random,25000,3,1460.22,0
selectionsort,random,25000,3,1316.5,0
bubblesort,random,25000,3,3992.51,0
mergesort,random,25000,4,7.7879,0
quicksort,random,25000,4,8.1264,0
insertionsort,random,25000,4,1469.86,0
selectionsort,random,25000,4,1323.21,0
bubblesort,random,25000,4,3951.38,0
mergesort,random,25000,5,8.066,0
quicksort,random,25000,5,7.8554,0
insertionsort,random,25000,5,1473.15,0
selectionsort,random,25000,5,1309.58,0
bubblesort,random,25000,5,3981.44,0
mergesort,random,25000,6,7.9369,0
quicksort,random,25000,6,7.7268,0
insertionsort,random,25000,6,1477.63,0
selectionsort,random,25000,6,1597.97,0
bubblesort,random,25000,6,5007.65,0
mergesort,random,25000,7,9.8576,0
quicksort,random,25000,7,7.7967,0
insertionsort,random,25000,7,1486.97,0
selectionsort,random,25000,7,1322.32,0
bubblesort,random,25000,7,4545.97,0
mergesort,random,25000,8,8.042,0
quicksort,random,25000,8,7.7779,0
insertionsort,random,25000,8,1447.6,0
selectionsort,random,25000,8,1291.31,0
bubblesort,random,25000,8,3918.98,0
mergesort,random,25000,9,8.2195,0
quicksort,random,25000,9,7.718,0
insertionsort,random,25000,9,1469.66,0
selectionsort,random,25000,9,1285.16,0
bubblesort,random,25000,9,3922.02,0
mergesort,random,25000,10,7.7422,0
quicksort,random,25000,10,9.6089,0
insertionsort,random,25000,10,1457.3,0
selectionsort,random,25000,10,1305.28,0
bubblesort,random,25000,10,3942.73,0
mergesort,sorted,25000,1,5.9114,0
quicksort,sorted,25000,1,6.9236,0
insertionsort,sorted,25000,1,0.3009,0
selectionsort,sorted,25000,1,1305.76,0
bubblesort,sorted,25000,1,0.1347,0
mergesort,sorted,25000,2,5.6351,0
quicksort,sorted,25000,2,6.5615,0
insertionsort,sorted,25000,2,0.2856,0
selectionsort,sorted,25000,2,1291.6,0
bubblesort,sorted,25000,2,0.106,0
mergesort,sorted,25000,3,6.3602,0
quicksort,sorted,25000,3,6.245,0
insertionsort,sorted,25000,3,0.2301,0
selectionsort,sorted,25000,3,1297.7,0
bubblesort,sorted,25000,3,0.106,0
mergesort,sorted,25000,4,5.3664,0
quicksort,sorted,25000,4,6.8313,0
insertionsort,sorted,25000,4,0.2972,0
selectionsort,sorted,25000,4,1297.27,0
bubblesort,sorted,25000,4,0.1137,0
mergesort,sorted,25000,5,5.5078,0
quicksort,sorted,25000,5,6.6562,0
insertionsort,sorted,25000,5,0.2591,0
selectionsort,sorted,25000,5,1294.98,0
bubblesort,sorted,25000,5,0.132,0
mergesort,sorted,25000,6,5.4074,0
quicksort,sorted,25000,6,6.3065,0
insertionsort,sorted,25000,6,0.3,0
selectionsort,sorted,25000,6,1300.79,0
bubblesort,sorted,25000,6,0.1145,0
mergesort,sorted,25000,7,5.3361,0
quicksort,sorted,25000,7,6.6287,0
insertionsort,sorted,25000,7,0.2992,0
selectionsort,sorted,25000,7,1287.78,0
bubblesort,sorted,25000,7,0.2086,0
mergesort,sorted,25000,8,5.8011,0
quicksort,sorted,25000,8,6.4671,0
insertionsort,sorted,25000,8,0.349,0
selectionsort,sorted,25000,8,1345.43,0
bubblesort,sorted,25000,8,0.1303,0
mergesort,sorted,25000,9,5.5156,0
quicksort,sorted,25000,9,6.6948,0
insertionsort,sorted,25000,9,0.2986,0
selectionsort,sorted,25000,9,1321.15,0
bubblesort,sorted,25000,9,0.1231,0
mergesort,sorted,25000,10,5.7811,0
quicksort,sorted,25000,10,6.6326,0
insertionsort,sorted,25000,10,0.3067,0
selectionsort,sorted,25000,10,1383.03,0
bubblesort,sorted,25000,10,0.1312,0
mergesort,reverse,25000,1,5.6839,0
quicksort,reverse,25000,1,7.2225,0
insertionsort,reverse,25000,1,3063,0
selectionsort,reverse,25000,1,1334.75,0
bubblesort,reverse,25000,1,5270.16,0
mergesort,reverse,25000,2,5.549,0
quicksort,reverse,25000,2,6.5953,0
insertionsort,reverse,25000,2,2935.14,0
selectionsort,reverse,25000,2,1330.31,0
bubblesort,reverse,25000,2,5283,0
mergesort,reverse,25000,3,5.3994,0
quicksort,reverse,25000,3,7.5643,0
insertionsort,reverse,25000,3,2936.33,0
selectionsort,reverse,25000,3,1336.77,0
bubblesort,reverse,25000,3,5267.36,0
mergesort,reverse,25000,4,5.4345,0
quicksort,reverse,25000,4,7.1228,0
insertionsort,reverse,25000,4,2923.32,0
selectionsort,reverse,25000,4,1318.62,0
bubblesort,reverse,25000,4,5244.47,0
mergesort,reverse,25000,5,5.5293,0
quicksort,reverse,25000,5,8.1586,0
insertionsort,reverse,25000,5,2902.48,0
selectionsort,reverse,25000,5,1330.45,0
bubblesort,reverse,25000,5,5245.96,0
mergesort,reverse,25000,6,5.472,0
quicksort,reverse,25000,6,6.9357,0
insertionsort,reverse,25000,6,2928.36,0
selectionsort,reverse,25000,6,1317.24,0
bubblesort,reverse,25000,6,5294.74,0
mergesort,reverse,25000,7,7.3959,0
quicksort,reverse,25000,7,6.5583,0
insertionsort,reverse,25000,7,2944.35,0
selectionsort,reverse,25000,7,1333.58,0
bubblesort,reverse,25000,7,5298.87,0
mergesort,reverse,25000,8,5.3846,0
quicksort,reverse,25000,8,6.4567,0
insertionsort,reverse,25000,8,2923.13,0
selectionsort,reverse,25000,8,1346.82,0
bubblesort,reverse,25000,8,5283.12,0
mergesort,reverse,25000,9,5.4066,0
quicksort,reverse,25000,9,6.6683,0
insertionsort,reverse,25000,9,2922.99,0
selectionsort,reverse,25000,9,1331.23,0
bubblesort,reverse,25000,9,5326.61,0
mergesort,reverse,25000,10,5.4261,0
quicksort,reverse,25000,10,6.6732,0
insertionsort,reverse,25000,10,2932.86,0
selectionsort,reverse,25000,10,1339.79,0
bubblesort,reverse,25000,10,5328.49,0
mergesort,random,50000,1,17.6818,196
quicksort,random,50000,1,15.9768,0
insertionsort,random,50000,1,SKIP,SKIP
selectionsort,random,50000,1,SKIP,SKIP
bubblesort,random,50000,1,SKIP,SKIP
mergesort,random,50000,2,16.9814,0
quicksort,random,50000,2,16.3142,0
insertionsort,random,50000,2,SKIP,SKIP
selectionsort,random,50000,2,SKIP,SKIP
bubblesort,random,50000,2,SKIP,SKIP
mergesort,random,50000,3,17.8866,0
quicksort,random,50000,3,16.6544,0
insertionsort,random,50000,3,SKIP,SKIP
selectionsort,random,50000,3,SKIP,SKIP
bubblesort,random,50000,3,SKIP,SKIP
mergesort,random,50000,4,16.7138,0
quicksort,random,50000,4,15.8835,0
insertionsort,random,50000,4,SKIP,SKIP
selectionsort,random,50000,4,SKIP,SKIP
bubblesort,random,50000,4,SKIP,SKIP
